Month,TDAmeritrade
2004-01,56
2004-02,43
2004-03,47
2004-04,48
2004-05,39
2004-06,45
2004-07,37
2004-08,36
2004-09,36
2004-10,43
2004-11,49
2004-12,55
2005-01,48
2005-02,47
2005-03,43
2005-04,39
2005-05,38
2005-06,49
2005-07,49
2005-08,48
2005-09,43
2005-10,41
2005-11,46
2005-12,44
2006-01,57
2006-02,51
2006-03,53
2006-04,57
2006-05,65
2006-06,61
2006-07,60
2006-08,59
2006-09,59
2006-10,68
2006-11,62
2006-12,64
2007-01,76
2007-02,75
2007-03,74
2007-04,75
2007-05,72
2007-06,76
2007-07,79
2007-08,77
2007-09,72
2007-10,82
2007-11,78
2007-12,70
2008-01,80
2008-02,73
2008-03,77
2008-04,80
2008-05,72
2008-06,67
2008-07,72
2008-08,63
2008-09,83
2008-10,100
2008-11,74
2008-12,70
2009-01,67
2009-02,69
2009-03,91
2009-04,91
2009-05,85
2009-06,79
2009-07,74
2009-08,81
2009-09,77
2009-10,72
2009-11,62
2009-12,67
2010-01,71
2010-02,64
2010-03,75
2010-04,79
2010-05,65
2010-06,56
2010-07,50
2010-08,47
2010-09,50
2010-10,55
2010-11,54
2010-12,58
2011-01,74
2011-02,73
2011-03,69
2011-04,67
2011-05,55
2011-06,53
2011-07,57
2011-08,72
2011-09,53
2011-10,56
2011-11,50
2011-12,51
2012-01,56
2012-02,66
2012-03,62
2012-04,55
2012-05,54
2012-06,48
2012-07,47
2012-08,50
2012-09,48
2012-10,48
2012-11,47
2012-12,48
2013-01,60
2013-02,58
2013-03,58
2013-04,57
2013-05,59
2013-06,51
2013-07,54
2013-08,53
2013-09,52
2013-10,59
2013-11,55
2013-12,55
2014-01,64
2014-02,65
2014-03,62
2014-04,56
2014-05,48
2014-06,55
2014-07,54
2014-08,49
2014-09,49
2014-10,50
2014-11,45
2014-12,49
2015-01,51
2015-02,55
2015-03,50
2015-04,52
2015-05,41
2015-06,44
2015-07,49
2015-08,50
2015-09,40
2015-10,41
2015-11,37
2015-12,40
2016-01,38
2016-02,38
2016-03,41
2016-04,40
2016-05,33
2016-06,38
2016-07,37
2016-08,36
2016-09,32
2016-10,32
2016-11,36
2016-12,39
2017-01,41
2017-02,46
2017-03,45
2017-04,40
2017-05,38
2017-06,40
2017-07,37
2017-08,42
2017-09,39
2017-10,43
2017-11,43
2017-12,52
2018-01,66
2018-02,68
2018-03,79
2018-04,70
2018-05,65
2018-06,70
2018-07,66
2018-08,72
2018-09,69
2018-10,68
2018-11,56
2018-12,57
2019-01,69
2019-02,70
2019-03,66
2019-04,68
2019-05,59
2019-06,60
2019-07,64
2019-08,61
2019-09,53
2019-10,63
2019-11,68
2019-12,64
2020-01,82