Week,TDAmeritrade
2014-01-19,66
2014-01-26,68
2014-02-02,69
2014-02-09,70
2014-02-16,65
2014-02-23,70
2014-03-02,71
2014-03-09,65
2014-03-16,67
2014-03-23,62
2014-03-30,63
2014-04-06,63
2014-04-13,56
2014-04-20,58
2014-04-27,58
2014-05-04,51
2014-05-11,52
2014-05-18,51
2014-05-25,50
2014-06-01,57
2014-06-08,58
2014-06-15,63
2014-06-22,56
2014-06-29,58
2014-07-06,52
2014-07-13,54
2014-07-20,56
2014-07-27,55
2014-08-03,52
2014-08-10,50
2014-08-17,59
2014-08-24,51
2014-08-31,49
2014-09-07,50
2014-09-14,53
2014-09-21,48
2014-09-28,49
2014-10-05,49
2014-10-12,53
2014-10-19,54
2014-10-26,54
2014-11-02,55
2014-11-09,53
2014-11-16,49
2014-11-23,42
2014-11-30,49
2014-12-07,47
2014-12-14,54
2014-12-21,50
2014-12-28,50
2015-01-04,58
2015-01-11,52
2015-01-18,50
2015-01-25,57
2015-02-01,59
2015-02-08,58
2015-02-15,56
2015-02-22,58
2015-03-01,59
2015-03-08,51
2015-03-15,55
2015-03-22,52
2015-03-29,50
2015-04-05,60
2015-04-12,56
2015-04-19,53
2015-04-26,49
2015-05-03,47
2015-05-10,46
2015-05-17,45
2015-05-24,38
2015-05-31,45
2015-06-07,47
2015-06-14,46
2015-06-21,49
2015-06-28,46
2015-07-05,51
2015-07-12,52
2015-07-19,49
2015-07-26,48
2015-08-02,46
2015-08-09,48
2015-08-16,49
2015-08-23,73
2015-08-30,48
2015-09-06,37
2015-09-13,42
2015-09-20,38
2015-09-27,41
2015-10-04,49
2015-10-11,43
2015-10-18,43
2015-10-25,44
2015-11-01,47
2015-11-08,41
2015-11-15,40
2015-11-22,33
2015-11-29,41
2015-12-06,39
2015-12-13,42
2015-12-20,35
2015-12-27,39
2016-01-03,45
2016-01-10,40
2016-01-17,40
2016-01-24,43
2016-01-31,41
2016-02-07,39
2016-02-14,39
2016-02-21,40
2016-02-28,43
2016-03-06,45
2016-03-13,42
2016-03-20,39
2016-03-27,43
2016-04-03,43
2016-04-10,46
2016-04-17,43
2016-04-24,38
2016-05-01,35
2016-05-08,35
2016-05-15,35
2016-05-22,34
2016-05-29,32
2016-06-05,37
2016-06-12,35
2016-06-19,43
2016-06-26,45
2016-07-03,36
2016-07-10,41
2016-07-17,42
2016-07-24,39
2016-07-31,41
2016-08-07,39
2016-08-14,38
2016-08-21,36
2016-08-28,34
2016-09-04,31
2016-09-11,33
2016-09-18,35
2016-09-25,36
2016-10-02,33
2016-10-09,32
2016-10-16,32
2016-10-23,39
2016-10-30,35
2016-11-06,43
2016-11-13,41
2016-11-20,34
2016-11-27,37
2016-12-04,44
2016-12-11,43
2016-12-18,39
2016-12-25,39
2017-01-01,45
2017-01-08,45
2017-01-15,39
2017-01-22,47
2017-01-29,45
2017-02-05,47
2017-02-12,49
2017-02-19,44
2017-02-26,56
2017-03-05,45
2017-03-12,44
2017-03-19,43
2017-03-26,42
2017-04-02,45
2017-04-09,42
2017-04-16,41
2017-04-23,45
2017-04-30,42
2017-05-07,42
2017-05-14,40
2017-05-21,40
2017-05-28,37
2017-06-04,40
2017-06-11,41
2017-06-18,42
2017-06-25,42
2017-07-02,37
2017-07-09,40
2017-07-16,41
2017-07-23,44
2017-07-30,49
2017-08-06,44
2017-08-13,43
2017-08-20,39
2017-08-27,41
2017-09-03,35
2017-09-10,40
2017-09-17,43
2017-09-24,41
2017-10-01,46
2017-10-08,46
2017-10-15,45
2017-10-22,45
2017-10-29,48
2017-11-05,46
2017-11-12,45
2017-11-19,37
2017-11-26,53
2017-12-03,52
2017-12-10,57
2017-12-17,61
2017-12-24,57
2017-12-31,71
2018-01-07,70
2018-01-14,60
2018-01-21,71
2018-01-28,68
2018-02-04,80
2018-02-11,63
2018-02-18,54
2018-02-25,100
2018-03-04,90
2018-03-11,80
2018-03-18,82
2018-03-25,77
2018-04-01,81
2018-04-08,76
2018-04-15,74
2018-04-22,65
2018-04-29,64
2018-05-06,72
2018-05-13,69
2018-05-20,70
2018-05-27,61
2018-06-03,76
2018-06-10,75
2018-06-17,74
2018-06-24,68
2018-07-01,59
2018-07-08,67
2018-07-15,67
2018-07-22,77
2018-07-29,75
2018-08-05,72
2018-08-12,72
2018-08-19,74
2018-08-26,81
2018-09-02,73
2018-09-09,74
2018-09-16,78
2018-09-23,74
2018-09-30,72
2018-10-07,74
2018-10-14,69
2018-10-21,65
2018-10-28,69
2018-11-04,63
2018-11-11,58
2018-11-18,48
2018-11-25,59
2018-12-02,59
2018-12-09,59
2018-12-16,62
2018-12-23,64
2018-12-30,68
2019-01-06,72
2019-01-13,70