Week,Starbucks
2015-01-25,41
2015-02-01,40
2015-02-08,41
2015-02-15,44
2015-02-22,42
2015-03-01,40
2015-03-08,42
2015-03-15,45
2015-03-22,46
2015-03-29,47
2015-04-05,46
2015-04-12,46
2015-04-19,49
2015-04-26,50
2015-05-03,53
2015-05-10,49
2015-05-17,50
2015-05-24,46
2015-05-31,47
2015-06-07,49
2015-06-14,46
2015-06-21,47
2015-06-28,46
2015-07-05,45
2015-07-12,49
2015-07-19,47
2015-07-26,47
2015-08-02,46
2015-08-09,47
2015-08-16,48
2015-08-23,46
2015-08-30,48
2015-09-06,48
2015-09-13,47
2015-09-20,49
2015-09-27,51
2015-10-04,47
2015-10-11,49
2015-10-18,47
2015-10-25,49
2015-11-01,53
2015-11-08,100
2015-11-15,57
2015-11-22,56
2015-11-29,54
2015-12-06,55
2015-12-13,58
2015-12-20,72
2015-12-27,64
2016-01-03,55
2016-01-10,47
2016-01-17,45
2016-01-24,45
2016-01-31,44
2016-02-07,46
2016-02-14,48
2016-02-21,47
2016-02-28,45
2016-03-06,43
2016-03-13,46
2016-03-20,48
2016-03-27,48
2016-04-03,46
2016-04-10,50
2016-04-17,49
2016-04-24,49
2016-05-01,55
2016-05-08,53
2016-05-15,54
2016-05-22,51
2016-05-29,56
2016-06-05,52
2016-06-12,53
2016-06-19,51
2016-06-26,52
2016-07-03,53
2016-07-10,52
2016-07-17,53
2016-07-24,52
2016-07-31,50
2016-08-07,47
2016-08-14,46
2016-08-21,49
2016-08-28,52
2016-09-04,53
2016-09-11,51
2016-09-18,51
2016-09-25,52
2016-10-02,49
2016-10-09,48
2016-10-16,47
2016-10-23,48
2016-10-30,55
2016-11-06,60
2016-11-13,58
2016-11-20,59
2016-11-27,54
2016-12-04,59
2016-12-11,59
2016-12-18,63
2016-12-25,76
2017-01-01,56
2017-01-08,50
2017-01-15,51
2017-01-22,48
2017-01-29,58
2017-02-05,49
2017-02-12,51
2017-02-19,51
2017-02-26,54
2017-03-05,49
2017-03-12,50
2017-03-19,50
2017-03-26,52
2017-04-02,51
2017-04-09,53
2017-04-16,88
2017-04-23,66
2017-04-30,65
2017-05-07,60
2017-05-14,58
2017-05-21,54
2017-05-28,53
2017-06-04,53
2017-06-11,57
2017-06-18,56
2017-06-25,59
2017-07-02,55
2017-07-09,57
2017-07-16,55
2017-07-23,55
2017-07-30,56
2017-08-06,59
2017-08-13,55
2017-08-20,55
2017-08-27,57
2017-09-03,57
2017-09-10,54
2017-09-17,55
2017-09-24,57
2017-10-01,53
2017-10-08,52
2017-10-15,52
2017-10-22,59
2017-10-29,59
2017-11-05,63
2017-11-12,60
2017-11-19,62
2017-11-26,56
2017-12-03,59
2017-12-10,59
2017-12-17,62
2017-12-24,75
2017-12-31,63
2018-01-07,54
2018-01-14,54
2018-01-21,52
2018-01-28,51
2018-02-04,48
2018-02-11,51
2018-02-18,51
2018-02-25,53
2018-03-04,51
2018-03-11,51
2018-03-18,54
2018-03-25,57
2018-04-01,54
2018-04-08,56
2018-04-15,88
2018-04-22,57
2018-04-29,58
2018-05-06,57
2018-05-13,54
2018-05-20,54
2018-05-27,62
2018-06-03,55
2018-06-10,53
2018-06-17,56
2018-06-24,55
2018-07-01,55
2018-07-08,59
2018-07-15,60
2018-07-22,57
2018-07-29,56
2018-08-05,57
2018-08-12,58
2018-08-19,59
2018-08-26,61
2018-09-02,61
2018-09-09,58
2018-09-16,56
2018-09-23,56
2018-09-30,56
2018-10-07,57
2018-10-14,56
2018-10-21,57
2018-10-28,69
2018-11-04,63
2018-11-11,60
2018-11-18,66
2018-11-25,60
2018-12-02,63
2018-12-09,62
2018-12-16,66
2018-12-23,81
2018-12-30,65
2019-01-06,55
2019-01-13,55
2019-01-20,54
2019-01-27,55
2019-02-03,54
2019-02-10,56
2019-02-17,56
2019-02-24,57
2019-03-03,57
2019-03-10,54
2019-03-17,59
2019-03-24,55
2019-03-31,56
2019-04-07,61
2019-04-14,63
2019-04-21,62
2019-04-28,67
2019-05-05,95
2019-05-12,69
2019-05-19,63
2019-05-26,59
2019-06-02,62
2019-06-09,62
2019-06-16,62
2019-06-23,63
2019-06-30,60
2019-07-07,69
2019-07-14,66
2019-07-21,65
2019-07-28,64
2019-08-04,66
2019-08-11,64
2019-08-18,63
2019-08-25,68
2019-09-01,68
2019-09-08,64
2019-09-15,65
2019-09-22,64
2019-09-29,64
2019-10-06,62
2019-10-13,61
2019-10-20,61
2019-10-27,62
2019-11-03,80
2019-11-10,70
2019-11-17,66
2019-11-24,71
2019-12-01,68
2019-12-08,68
2019-12-15,70
2019-12-22,92
2019-12-29,75
2020-01-05,61
2020-01-12,60
2020-01-19,64